BirdID,RecA Time,RecA End,nsk
power1,1143.5555459806917,1144.9458726138917,1
power1,1147.285698233165,1148.511128173665,1
power1,1150.2253972190983,1151.6707487221893,1
power1,1153.548262874957,1154.9483246302568,1
power1,1156.7643447819185,1158.0173370155549,1
power1,1159.3450258436274,1160.7302708184275,1
power1,1162.6601538773773,1164.1144366549227,1
power1,1166.2223377683747,1167.401373173589,1
power1,1169.0276921713391,1170.4129371461393,1
power1,1171.9998295573037,1173.3901561905036,1
power1,1175.2477244310448,1176.4731543715448,1
power1,1177.8976646825765,1179.3430161856675,1
power1,1181.1106712603025,1182.4727736424693,1
power1,1184.0332620193633,1185.4875447969087,1
power1,1187.069494897076,1188.4547398718762,1
power1,1190.221446284275,1191.621508039575,1
power1,1193.5294599761673,1194.7824522098038,1
power1,1196.6741321004422,1198.1194836035331,1
power1,1199.8276874792857,1201.0531174197858,1
power1,1202.1623800601765,1203.6166628377218,1
power1,1205.1665254489988,1206.5286278311655,1
power1,1208.364497100685,1209.754823733885,1
power1,1211.4558665365473,1212.6349019417617,1
power1,1214.3251565691958,1215.7104015439959,1
power1,1217.443178929765,1218.843240685065,1
power1,1220.6589170905884,1221.8843470310885,1
power1,1223.3860750501399,1224.8314265532308,1
power1,1226.610696466532,1228.0649792440774,1
power1,1229.7109523179638,1230.9639445516002,1
power1,1232.8125468529336,1234.1977918277337,1
power1,1235.668585122259,1237.058911755459,1
power1,1239.4025818742766,1240.581617279491,1
power1,1287.3943599924905,1288.848642770036,1
power1,1289.6922067845794,1291.0774517593795,1
power1,1297.5523604161533,1298.9977119192442,1
power1,1300.8001895568682,1302.2002513121681,1
power1,1303.1918313596366,1304.5539337418033,1
power1,1305.838891219011,1307.2931739965563,1
power1,1308.8163226751021,1310.041752615602,1
power1,1310.770638685188,1312.1558836599881,1
power1,1313.454993270545,1314.845319903745,1
power1,1316.3183110037942,1317.5713032374306,1
power1,1318.8419922826051,1320.287343785696,1
power1,1321.9213283296333,1323.1003637348476,1
power1,1324.2522111179933,1325.6522728732932,1
power1,1326.9457106240236,1328.3078130061904,1
power1,1329.639210130054,1331.0934929075993,1
power1,1332.4255889293954,1333.8108339041955,1
power1,1335.4137923478138,1336.6392222883137,1
power1,1337.8358077647838,1339.2811592678747,1
power1,1340.6221865641253,1341.8751787977617,1
power1,1343.0834878368769,1344.5377706144222,1
power1,1346.1252846928248,1347.510529667625,1
power1,1348.98132296215,1350.37164959535,1
power1,1352.1203614861615,1353.2993968913759,1
power1,1354.9255977340788,1356.3256594893787,1
power1,1357.8512954733874,1359.2966469764783,1
power1,1360.823432859352,1362.1855352415187,1
power1,1363.9116693619553,1365.3019959951553,1
power1,1367.1474714398387,1368.3729013803386,1
power1,1369.9023837805396,1371.356666558085,1
power1,1372.6423229332256,1374.0275679080257,1
power1,1375.5680206725342,1376.8210129061706,1
power1,1378.4240589418594,1379.8694104449503,1
power1,1382.0463513810037,1383.4464131363036,1
power1,1385.2506870002462,1386.612789382413,1
power1,1388.1996045628828,1389.6538873404281,1
power1,1391.496819475437,1392.6758548806513,1
power1,1394.1903189814673,1395.5755639562674,1
power1,1396.9999176041367,1398.3902442373367,1
power1,1400.3133119101904,1401.5387418506903,1
power1,1403.153170786016,1404.598522289107,1
power1,1405.8698901153741,1407.269951870674,1
power1,1408.749148208027,1410.0021404416634,1
power1,1411.7445054173193,1413.1297503921194,1
power1,1414.6237635099722,1416.0780462875175,1
power1,1417.4565819559696,1418.635617361184,1
power1,1420.7912581855726,1422.2366096886635,1
power1,1423.586615314521,1424.9487176966877,1
power1,1426.3962139371904,1427.7865405703903,1
power1,1429.7103066455247,1430.9357365860246,1
power1,1432.3404887091192,1433.7858402122101,1
power1,1435.6609234450011,1437.060985200301,1
power1,1438.4705220676706,1439.723514301307,1
power1,1441.3729999836514,1442.7582449584515,1
power1,1444.5541157795662,1446.0083985571116,1
power1,1447.6423522821701,1448.8213876873845,1
power1,1450.4287310815116,1451.8139760563117,1
power1,1453.2615495275088,1454.6518761607088,1
power1,1456.5947375575142,1457.8201674980141,1
power1,1459.2522639460933,1460.6976154491842,1
power1,1462.2708409787133,1463.63294336088,1
power1,1465.3126378346612,1466.7126995899612,1
power1,1468.5294157189023,1469.7084511241167,1
power1,1471.3265720765735,1472.7719235796644,1
power1,1474.3451491091935,1475.7994318867388,1
power1,1477.2731368254222,1478.5261290590586,1
power1,1480.6274095298977,1482.0126545046978,1
power1,1483.33122073707,1484.72154737027,1
power1,1486.7203768015588,1487.9458067420587,1
power1,1489.995310032162,1491.440661535253,1
power1,1493.2460852980607,1494.6081876802275,1
power1,1496.520080387287,1497.9201421425869,1
power1,1499.8736474174789,1501.0526828226932,1
power1,1502.5572344525272,1504.0115172300725,1
power1,1505.9241088350648,1507.309353809865,1
power1,1509.2909832176026,1510.543975451239,1
power1,1512.1470214869275,1513.5373481201275,1
power1,1515.47666776151,1516.7020977020102,1
power1,1518.5324729020856,1519.9778244051765,1
power1,1521.7600283446563,1523.1600900999563,1
power1,1524.8714846705875,1526.2335870527543,1
power1,1528.1919194064697,1529.370954811684,1
power1,1530.8854189125,1532.3397016900453,1
power1,1538.454058565967,1539.679488506467,1
power1,1540.1733482436384,1541.5585932184385,1
power1,1543.261584746242,1544.661646501542,1
power1,1546.0944031922393,1547.3473954258757,1
power1,1548.393165701696,1549.838517204787,1
power1,1551.8529193775453,1553.215021759712,1
power1,1554.6857378235425,1556.0760644567424,1
power1,1558.2907489527443,1559.4697843579586,1
power1,1560.2120557755702,1561.6663385531156,1
power1,1563.6485896280913,1565.0338346028914,1
power1,1567.2476622439076,1568.6477239992075,1
power1,1570.498437509806,1571.723867450306,1
power1,1573.2151568391641,1574.660508342255,1
power1,1576.4891519283906,1577.742144162027,1
power1,1582.4566465236471,1583.818748905814,1
power1,1585.1501460296772,1586.5404726628772,1
power1,1588.3544816489202,1589.5335170541346,1
power1,1591.4659379748514,1592.9112894779423,1
power1,1595.2507691772905,1596.4761991177907,1
power1,1598.037147976632,1599.4914307541774,1
power1,1600.8003069526458,1602.1855519274459,1
power1,1604.3761597451344,1605.6291519787708,1
power1,1606.6749222545911,1608.074984009891,1
power1,1610.0417966371288,1611.4871481402197,1
power1,1613.8498476628956,1615.02888306811,1
power2,1615.518447974726,1616.5987823601877,1
power1,1616.6826661088928,1618.1369488864382,1
power2,1618.4933775213797,1619.7462501088796,1
power1,1620.0263206681027,1621.4115656429028,1
power2,1620.7236411629528,1622.3575638587147,1
power1,1623.0681175240509,1624.4584441572508,1
power2,1623.604398366652,1625.1695040801521,1
power1,1626.2492333199657,1627.4746632604656,1
power2,1627.9255341722007,1628.9127603092006,1
power1,1629.2445905292577,1630.6899420323487,1
power2,1630.086102074975,1631.503733489248,1
power2,1632.7810039752098,1633.9993959486098,1
power1,1632.866882968402,1634.266944723702,1
power2,1635.0809633555825,1636.6313408719993,1
power1,1635.9318996476777,1637.2940020298445,1
power2,1638.0081843851476,1639.2355783730568,1
power1,1639.205894736904,1640.6601775144493,1
power2,1640.2152161137883,1641.6868314424246,1
power1,1642.2012519461962,1643.3802873514105,1
power2,1642.863654188157,1643.9439885736185,1
power2,1644.9312944391988,1646.5652171349607,1
power1,1645.0108505688656,1646.4562020719566,1
power2,1647.7191239911658,1648.946517979075,1
power1,1648.2151861881086,1649.6152479434086,1
power2,1650.0190833715385,1651.1163398442384,1
power1,1651.5588407473185,1652.811832980955,1
power2,1652.319042751911,1653.884148465411,1
power1,1654.5774177799385,1655.9626627547386,1
power2,1655.3856552590748,1656.3728813960747,1
