Date,Bird,Neighbour,Observed,Expected,Difference,p-value
04-30-2024,power2,power1,244.4,225.1,19.30,0.023
04-30-2024,power1,power2,228.2,228.1,0.10,0.494
07-07-2023,peter2,peter1,53.4,54.2,-0.80,0.544
07-07-2023,peter1,peter2,81.8,82.6,-0.80,0.538
06-22-2023,GB1,BBF8,119.6,108,11.60,0.081
05-07-2024,frye32,frye31,80.6,72.3,8.30,0.096
05-06-2024,frye32,frye31,48.7,68.97,-20.27,1.000
05-07-2024,frye31,frye32,111.3,113.4,-2.10,0.602
06-06-2024,frye31,frye32,74.4,107.64,-33.24,1.000
04-27-2024,frye4,frye3,75.23,74.54,0.69,0.456
04-27-2024,frye4,frye1,132.72,160.43,-27.71,0.997
04-27-2024,frye3,frye4,52.52,78.22,-25.70,0.999
04-27-2024,frye3,frye1,131.71,141.32,-9.61,0.821
04-26-2024,frye3,frye1,126.84,157.64,-30.80,1.000
04-27-2024,frye1,frye4,132.72,159.74,-27.02,0.997
04-27-2024,frye1,frye3,124.81,126.41,-1.60,0.558
05-26-2024,frye1,frye3,170.95,141.55,29.40,0.001
06-09-2023,chick3,chick2,189.89,211.13,-21.24,0.963
06-09-2023,chick2,chick3,214.03,207.66,6.37,0.291
06-11-2023,cham2,cham1,87.28,141.36,-54.08,1.000
06-11-2023,cham1,cham2,118.18,125.15,-6.97,0.795
06-23-2023,BBF9,BBF8,171.94,221.42,-49.48,1.000
06-23-2023,BBF9,BBF3,79.25,87.5,-8.25,0.868
06-22-2023,BBF8,GB1,82.67,100.18,-17.51,0.987
06-23-2023,BBF8,BBF9,263.16,267.79,-4.63,0.635
06-23-2023,BBF8,BBF3,112.07,118.84,-6.77,0.785
06-23-2023,BBF3,BBF9,127.53,117.84,9.69,0.129
06-23-2023,BBF3,BBF8,131.07,133.03,-1.96,0.587
04-22-2024,BBF3,BBF2,262.18,216.71,45.47,0.000
04-22-2024,BBF2,BBF3,121.84,142.43,-20.59,0.990
