Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	ID	POST
1	Spectrogram 1	1	2254.593936191	2254.914287950	1418.100	1739.500	Av	
8	Spectrogram 1	1	2294.502758150	2295.106819220	1399.200	1777.300	A	
14	Spectrogram 1	1	2319.500225615	2319.979921170	1474.800	1758.400	Av	
22	Spectrogram 1	1	2350.449470356	2351.035764924	1418.100	1758.400	Av	
29	Spectrogram 1	1	2378.147446131	2378.627141686	1418.100	1701.700	A	
35	Spectrogram 1	1	2403.020548081	2403.375878121	1550.400	1739.500	A	
41	Spectrogram 1	1	2426.898725916	2427.449487480	1550.400	1720.600	A	
47	Spectrogram 1	1	2460.601779380	2461.028175429	1531.500	1720.600	A	
51	Spectrogram 1	1	2474.051017153	2474.637311720	1418.100	1796.200	A	
59	Spectrogram 1	1	2504.058638192	2504.591633253	1399.200	1739.500	A	
67	Spectrogram 1	1	2537.139863178	2537.619558734	1418.100	1720.600	A	
71	Spectrogram 1	1	2554.089105219	2554.568800774	1399.200	1758.400	A	
78	Spectrogram 1	1	2581.875913503	2582.408908564	1474.800	1701.700	A	
86	Spectrogram 1	1	2614.477443840	2615.081504910	1437.000	1758.400	A	
92	Spectrogram 1	1	2639.670342827	2640.292170398	1418.100	1777.300	A	
97	Spectrogram 1	1	2659.728719358	2660.332780428	1455.900	1720.600	A	
106	Spectrogram 1	1	2695.741417181	2696.434310761	1418.100	1720.600	A	
113	Spectrogram 1	1	2722.924164396	2723.474925960	1474.800	1815.100	A	
130	Spectrogram 1	1	2747.849845052	2748.376948764	1448.600	1745.800	A	
138	Spectrogram 1	1	2778.221361764	2778.748465476	1448.600	1745.800	A	
143	Spectrogram 1	1	2798.422599944	2798.949703656	1448.600	1745.800	A	
151	Spectrogram 1	1	2830.465943264	2830.993046976	1448.600	1745.800	Av	
158	Spectrogram 1	1	2858.747676716	2859.274780428	1448.600	1745.800	A	
165	Spectrogram 1	1	2887.726004588	2888.253108300	1448.600	1745.800	A	
170	Spectrogram 1	1	2907.346747418	2907.873851130	1448.600	1745.800	A	
177	Spectrogram 1	1	2935.582041242	2936.109144954	1448.600	1745.800	A	
185	Spectrogram 1	1	2967.346746794	2967.873850506	1448.600	1745.800	Av	
190	Spectrogram 1	1	2987.339006648	2987.866110360	1448.600	1745.800	Av	
198	Spectrogram 1	1	3017.826622430	3018.353726142	1448.600	1745.800	Av	
205	Spectrogram 1	1	3044.738386856	3045.265490568	1448.600	1745.800	A	
211	Spectrogram 1	1	3067.981420670	3068.508524382	1448.600	1745.800	Av	
219	Spectrogram 1	1	3100.303401758	3100.830505470	1448.600	1745.800	A	
226	Spectrogram 1	1	3128.283277628	3128.810381340	1448.600	1745.800	A	
