Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	ID
14	Spectrogram 1	1	2106.320078619	2106.615304749	1342.4	1720.6	A
55	Spectrogram 1	1	2249.217413123	2249.857007196	1342.4	1890.8	A
8	Spectrogram 1	1	2084.322590468	2084.661786448	1361.3	1758.4	A
40	Spectrogram 1	1	2189.637454349	2190.028317394	1399.2	1758.4	A
23	Spectrogram 1	1	2138.123487502	2138.469934292	1437.0	1663.9	A
30	Spectrogram 1	1	2163.822730376	2164.124760911	1437.0	1758.4	A
1	Spectrogram 1	1	2062.287413876	2062.570077192	1455.9	1834.0	A
35	Spectrogram 1	1	2279.527062112	2279.917925157	1455.9	1852.9	A
48	Spectrogram 1	1	2220.542282321	2220.924262115	1474.8	1739.5	A
25	Spectrogram 1	1	2144.919173369	2145.398868924	1493.7	1966.4	B
5	Spectrogram 1	1	2074.234650532	2074.630379175	1512.6	1966.4	B
12	Spectrogram 1	1	2098.468319587	2098.801234160	1512.6	1852.9	B
19	Spectrogram 1	1	2123.801234873	2124.171837888	1512.6	1947.5	B
38	Spectrogram 1	1	2181.260549801	2181.651412846	1550.4	1928.6	B
46	Spectrogram 1	1	2213.364615497	2213.799894797	1569.3	1909.7	B
51	Spectrogram 1	1	2232.996599087	2233.440761638	1569.3	1890.8	B
57	Spectrogram 1	1	2258.278328000	2258.669191045	1588.2	1890.8	B
16	Spectrogram 1	1	2113.386661771	2113.813797449	1852.9	2250.0	C
27	Spectrogram 1	1	2152.585418999	2152.967398793	1852.9	2250.0	C
43	Spectrogram 1	1	2202.349385395	2202.766898193	1871.8	2231.1	C
53	Spectrogram 1	1	2240.627310550	2241.071473101	1890.8	2231.1	C
3	Spectrogram 1	1	2067.789926676	2068.235906576	1909.7	2306.7	C
59	Spectrogram 1	1	2265.864624371	2266.353203177	1928.6	2287.8	C
10	Spectrogram 1	1	2091.923093219	2092.299977641	1852.9	2344.5	D
21	Spectrogram 1	1	2131.025774312	2131.461053612	1909.7	2325.6	D
49	Spectrogram 1	1	2224.459794857	2224.957256914	1909.7	2363.4	D
32	Spectrogram 1	1	2171.870954636	2172.297350685	1928.6	2344.5	D
56	Spectrogram 1	1	2254.449647974	2255.000409537	1985.3	2325.6	D
33	Spectrogram 1	1	2290.160312420	2290.631124724	2060.9	2363.4	D
7	Spectrogram 1	1	2081.062540217	2081.395454790	2174.4	2609.2	E
29	Spectrogram 1	1	2159.825267417	2160.358262478	2174.4	2590.3	E
45	Spectrogram 1	1	2209.971214771	2210.450910326	2193.3	2666.0	E
18	Spectrogram 1	1	2120.522340401	2120.924350451	2250.0	2666.0	E
36	Spectrogram 1	1	2275.600666325	2275.947113115	2268.9	2628.2	E
24	Spectrogram 1	1	2141.436940133	2141.925518939	2363.4	2798.3	F
13	Spectrogram 1	1	2102.683143708	2103.122842200	2382.4	2741.6	F
4	Spectrogram 1	1	2071.382891500	2071.803745772	2401.3	2873.9	F
54	Spectrogram 1	1	2245.548630452	2245.966143249	2420.2	2779.4	F
39	Spectrogram 1	1	2185.773241319	2186.172987615	2439.1	2817.2	F
47	Spectrogram 1	1	2217.131113929	2217.610809484	2495.8	2817.2	F
34	Spectrogram 1	1	2284.590515194	2285.079094000	2987.4	3497.9	G
9	Spectrogram 1	1	2088.141685946	2088.581384438	3025.2	3441.2	G
31	Spectrogram 1	1	2168.442019743	2168.966131553	3025.2	3384.5	G
20	Spectrogram 1	1	2127.431888139	2127.846461004	3081.9	3535.7	G
52	Spectrogram 1	1	2236.994060883	2237.544822446	3176.5	3497.9	G
15	Spectrogram 1	1	2109.724601232	2110.063797212	2968.5	3441.2	H
2	Spectrogram 1	1	2065.195705571	2065.616559842	3006.3	3460.1	H
26	Spectrogram 1	1	2148.756737810	2149.209783612	3063.0	3516.8	H
42	Spectrogram 1	1	2199.142532941	2199.613345245	3100.8	3535.7	H
58	Spectrogram 1	1	2261.991526926	2262.391273222	3119.7	3422.3	H
11	Spectrogram 1	1	2095.503495229	2095.855254023	4613.4	5010.5	I
41	Spectrogram 1	1	2194.478826155	2194.887455702	4632.4	5105.0	I
22	Spectrogram 1	1	2134.499121086	2134.881100880	4689.1	5048.3	I
50	Spectrogram 1	1	2229.256750408	2229.647613453	4726.9	5048.3	I
6	Spectrogram 1	1	2078.204499778	2078.531132944	4972.7	5426.5	J
17	Spectrogram 1	1	2117.098973329	2117.369073831	5010.5	5426.5	J
37	Spectrogram 1	1	2270.865893531	2271.176807317	5086.1	5502.1	J
44	Spectrogram 1	1	2206.186949836	2206.551163128	5142.9	5558.8	J
28	Spectrogram 1	1	2156.431865527	2156.760545815	5199.6	5634.5	K
