Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	ID
44	Spectrogram 1	1	695.797855229	696.124488395	1096.6	1550.4	A
4	Spectrogram 1	1	503.567942693	503.907138673	1342.4	1815.1	A
14	Spectrogram 1	1	550.150860874	550.471212633	1342.4	1682.8	A
39	Spectrogram 1	1	670.722476540	671.011421264	1342.4	1796.2	A
9	Spectrogram 1	1	531.055382284	531.413422485	1380.3	1701.7	A
34	Spectrogram 1	1	634.698604788	634.981268105	1418.1	1815.1	A
62	Spectrogram 1	1	773.511427688	773.913437738	1418.1	1815.1	A
67	Spectrogram 1	1	797.204896828	797.600625472	1418.1	1777.3	A
19	Spectrogram 1	1	570.797846209	571.168449224	1437.0	1739.5	A
49	Spectrogram 1	1	716.670971217	717.054137046	1437.0	1815.1	A
26	Spectrogram 1	1	600.534029519	600.885788313	1455.9	1720.6	A
56	Spectrogram 1	1	745.822983673	746.174742467	1455.9	1758.4	A
52	Spectrogram 1	1	729.026500058	729.397103073	1493.7	1947.5	B
17	Spectrogram 1	1	561.884529025	562.292820482	1512.6	1966.4	B
24	Spectrogram 1	1	592.895837963	593.285285199	1512.6	1947.5	B
58	Spectrogram 1	1	754.277758143	754.654642565	1512.6	1928.6	B
29	Spectrogram 1	1	612.506391929	612.939809014	1531.5	2042.0	B
65	Spectrogram 1	1	785.691077131	786.111931403	1531.5	2023.1	B
7	Spectrogram 1	1	514.152114750	514.686034348	1550.4	1985.3	B
46	Spectrogram 1	1	704.472477552	704.849361974	1569.3	1947.5	B
1	Spectrogram 1	1	496.212415055	496.614425105	1588.2	1985.3	B
36	Spectrogram 1	1	643.687298857	644.064183279	1626.1	2023.1	B
21	Spectrogram 1	1	577.606892036	577.977495051	1890.8	2212.2	C
11	Spectrogram 1	1	540.207392936	540.647091428	1909.7	2306.7	C
31	Spectrogram 1	1	620.791568410	621.206141274	1928.6	2420.2	C
60	Spectrogram 1	1	763.398361760	763.787808996	1928.6	2344.5	C
37	Spectrogram 1	1	654.698605991	655.094334634	1947.5	2401.3	D
53	Spectrogram 1	1	732.996349304	733.366952319	1947.5	2344.5	C
16	Spectrogram 1	1	558.203623901	558.574226916	1966.4	2401.3	D
28	Spectrogram 1	1	607.569205398	607.883275750	1966.4	2382.4	D
64	Spectrogram 1	1	781.670976028	781.966202158	1966.4	2344.5	D
41	Spectrogram 1	1	681.300367190	681.683533019	2004.2	2325.6	C
48	Spectrogram 1	1	712.826750112	713.235041569	2023.1	2401.3	D
55	Spectrogram 1	1	742.054138850	742.550370006	2042.0	2439.1	D
6	Spectrogram 1	1	510.395832741	510.791561385	2098.7	2458.0	D
13	Spectrogram 1	1	546.463674944	546.897092029	2174.4	2703.8	E
50	Spectrogram 1	1	721.457403979	722.010167798	2193.3	2798.3	E
8	Spectrogram 1	1	526.375733442	526.834276155	2212.2	2722.7	E
43	Spectrogram 1	1	691.369463269	691.733784877	2250.0	2703.8	E
61	Spectrogram 1	1	768.718713518	769.164693418	2250.0	2609.2	E
68	Spectrogram 1	1	805.182284364	805.634545671	2268.9	2666.0	E
32	Spectrogram 1	1	625.653378056	626.061669514	2287.8	2760.5	E
23	Spectrogram 1	1	585.816691633	586.268952939	2306.7	2741.6	E
25	Spectrogram 1	1	596.746340475	597.160913339	2363.4	2836.1	F
45	Spectrogram 1	1	700.031522778	700.578005190	2363.4	2798.3	F
35	Spectrogram 1	1	639.170966597	639.679760567	2401.3	2817.2	F
57	Spectrogram 1	1	749.076752517	749.667204778	2401.3	2855.0	F
2	Spectrogram 1	1	499.855631135	500.307892442	2439.1	2779.4	F
66	Spectrogram 1	1	790.201127383	790.691077131	2439.1	2892.9	F
18	Spectrogram 1	1	566.187292844	566.664679778	2458.0	2911.8	F
54	Spectrogram 1	1	737.324239353	737.757656438	3006.3	3479.0	H
30	Spectrogram 1	1	616.451115547	616.890814040	3044.1	3611.3	G
40	Spectrogram 1	1	675.106899252	675.596849001	3081.9	3592.4	H
59	Spectrogram 1	1	758.963687792	759.365697842	3081.9	3497.9	G
20	Spectrogram 1	1	574.918449224	575.307896460	3100.8	3573.5	H
10	Spectrogram 1	1	535.295332033	535.716186304	3252.1	3611.3	G
27	Spectrogram 1	1	604.428501880	604.836793338	4556.7	4972.7	I
15	Spectrogram 1	1	554.987543499	555.383272142	4613.4	5029.4	I
38	Spectrogram 1	1	657.833028703	658.209913125	4632.4	5142.9	I
63	Spectrogram 1	1	777.745096631	778.203639344	4632.4	5067.2	I
5	Spectrogram 1	1	506.934777465	507.280254852	4651.3	5048.3	I
12	Spectrogram 1	1	543.360659267	543.756387911	4991.6	5464.3	J
22	Spectrogram 1	1	582.248851835	582.625736257	4991.6	5539.9	J
42	Spectrogram 1	1	687.299110909	687.669713924	5010.5	5577.7	J
51	Spectrogram 1	1	725.245092421	725.596851215	5123.9	5653.4	K
33	Spectrogram 1	1	631.080513735	631.444835343	5142.9	5577.7	K
